File  .text     Size         Crate Name
0.0%   0.0%       7B           std core::str::lossy::Utf8Lossy::chunks
0.0%   0.0%       7B           std core::str::lossy::Utf8Lossy::from_bytes
0.0%   0.0%       7B           std <std::io::stdio::StderrRaw as std::io::Write>::flush
0.0%   0.0%       6B           std backtrace::print::BacktraceFmt::frame
0.0%   0.0%       6B           std __rdl_dealloc
0.0%   0.0%       6B           std core::ptr::drop_in_place
0.0%   0.0%       6B           std core::ptr::drop_in_place
0.0%   0.0%       5B     [Unknown] __libc_csu_fini
0.0%   0.0%       5B           std core::num::<impl u32>::from_str_radix
0.0%   0.0%       5B           std core::panic::PanicInfo::location
0.0%   0.0%      64B               And 20 smaller methods. Use -n N to show more.
6.5% 100.0% 185.8KiB               .text section size, the file size is 2.8MiB
